freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.088e+03,4.701e+02,7.848e+01,1.637e+03
1.5,6.475e+02,5.836e+02,1.023e+02,1.333e+03
3.1,8.779e+01,6.888e+02,7.732e+01,8.539e+02
4.6,3.720e+02,7.828e+02,7.464e+01,1.229e+03
6.2,1.126e+03,7.494e+02,7.383e+01,1.949e+03
7.7,1.797e+03,1.031e+03,8.188e+01,2.910e+03
9.3,2.516e+03,1.305e+03,8.571e+01,3.906e+03
10.8,3.385e+03,1.438e+03,8.893e+01,4.912e+03
12.4,4.488e+03,1.574e+03,8.110e+01,6.143e+03
13.9,5.661e+03,1.639e+03,7.664e+01,7.377e+03
15.5,6.433e+03,1.958e+03,8.181e+01,8.474e+03
17.0,7.130e+03,2.464e+03,8.097e+01,9.675e+03
18.6,8.504e+03,2.643e+03,8.028e+01,1.123e+04
20.1,1.015e+04,2.815e+03,7.918e+01,1.304e+04
21.7,1.180e+04,3.050e+03,8.195e+01,1.493e+04
23.2,1.354e+04,3.391e+03,7.535e+01,1.701e+04
24.8,1.541e+04,3.967e+03,8.441e+01,1.946e+04
26.3,1.747e+04,4.400e+03,9.263e+01,2.196e+04
27.9,1.967e+04,5.061e+03,1.085e+02,2.484e+04
29.4,2.194e+04,5.581e+03,1.248e+02,2.765e+04
31.0,2.470e+04,6.087e+03,1.299e+02,3.091e+04
32.5,2.767e+04,6.887e+03,1.287e+02,3.468e+04
34.1,3.115e+04,8.128e+03,1.611e+02,3.944e+04
35.6,3.451e+04,9.068e+03,1.804e+02,4.376e+04
37.1,3.890e+04,1.030e+04,2.038e+02,4.941e+04
38.7,4.289e+04,1.184e+04,2.998e+02,5.502e+04
40.2,4.676e+04,1.300e+04,4.177e+02,6.018e+04
41.8,5.064e+04,1.403e+04,6.372e+02,6.531e+04
43.3,5.285e+04,1.516e+04,9.421e+02,6.895e+04
44.9,5.740e+04,1.686e+04,1.203e+03,7.547e+04
46.4,6.559e+04,1.876e+04,1.013e+03,8.536e+04
48.0,7.225e+04,1.962e+04,6.897e+02,9.255e+04
49.5,7.087e+04,1.808e+04,5.284e+02,8.949e+04
51.1,7.232e+04,1.767e+04,5.362e+02,9.053e+04
52.6,8.164e+04,2.015e+04,5.398e+02,1.023e+05
54.2,9.184e+04,2.296e+04,5.635e+02,1.154e+05
55.7,1.007e+05,2.560e+04,6.078e+02,1.269e+05
57.3,1.067e+05,2.739e+04,6.972e+02,1.348e+05
58.8,1.169e+05,3.069e+04,8.696e+02,1.484e+05
60.4,1.318e+05,3.543e+04,1.160e+03,1.684e+05
61.9,1.484e+05,4.139e+04,1.708e+03,1.915e+05
63.5,1.660e+05,4.843e+04,2.502e+03,2.170e+05
65.0,1.848e+05,5.656e+04,3.650e+03,2.450e+05
66.6,1.999e+05,6.384e+04,5.755e+03,2.695e+05
68.1,2.083e+05,6.887e+04,8.140e+03,2.853e+05
69.6,2.315e+05,8.299e+04,1.602e+04,3.305e+05
71.2,2.655e+05,1.036e+05,3.345e+04,4.025e+05
72.7,2.967e+05,1.181e+05,5.449e+04,4.693e+05
74.3,3.242e+05,1.290e+05,7.875e+04,5.320e+05
75.8,3.565e+05,1.385e+05,1.011e+05,5.960e+05
77.4,3.907e+05,1.479e+05,1.162e+05,6.548e+05
78.9,4.295e+05,1.584e+05,1.338e+05,7.217e+05
80.5,4.707e+05,1.665e+05,1.495e+05,7.867e+05
82.0,5.098e+05,1.709e+05,1.560e+05,8.367e+05
83.6,5.719e+05,1.773e+05,1.647e+05,9.138e+05
85.1,6.566e+05,1.902e+05,1.810e+05,1.028e+06
86.7,7.651e+05,2.106e+05,1.984e+05,1.174e+06
88.2,9.105e+05,2.369e+05,2.187e+05,1.366e+06
89.8,1.068e+06,2.624e+05,2.311e+05,1.562e+06
91.3,1.228e+06,2.816e+05,2.379e+05,1.748e+06
92.9,1.425e+06,2.967e+05,2.344e+05,1.957e+06
