freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.695e+01,1.421e+02,1.183e+03,1.382e+03
1.5,7.198e+01,1.396e+02,7.128e+02,9.244e+02
3.1,5.347e+01,7.401e+01,7.615e+01,2.036e+02
4.6,5.282e+01,6.773e+01,4.230e+02,5.435e+02
6.2,5.401e+01,7.896e+01,1.358e+03,1.491e+03
7.7,5.805e+01,8.123e+01,2.165e+03,2.305e+03
9.3,5.589e+01,7.034e+01,3.187e+03,3.313e+03
10.8,5.733e+01,7.038e+01,4.517e+03,4.644e+03
12.4,7.377e+01,7.951e+01,6.192e+03,6.346e+03
13.9,8.688e+01,9.875e+01,6.711e+03,6.897e+03
15.5,8.723e+01,1.050e+02,7.118e+03,7.310e+03
17.0,8.054e+01,8.622e+01,8.745e+03,8.912e+03
18.6,7.642e+01,7.529e+01,1.074e+04,1.089e+04
20.1,8.568e+01,9.277e+01,1.288e+04,1.306e+04
21.7,9.693e+01,1.216e+02,1.511e+04,1.533e+04
23.2,1.112e+02,1.282e+02,1.791e+04,1.815e+04
24.8,1.476e+02,1.499e+02,2.134e+04,2.164e+04
26.3,1.902e+02,1.681e+02,2.497e+04,2.532e+04
27.9,2.255e+02,1.523e+02,2.897e+04,2.935e+04
29.4,2.761e+02,1.498e+02,3.404e+04,3.447e+04
31.0,3.361e+02,1.411e+02,3.914e+04,3.962e+04
32.5,4.043e+02,1.697e+02,4.446e+04,4.504e+04
34.0,4.731e+02,1.840e+02,5.102e+04,5.168e+04
35.6,5.418e+02,1.605e+02,5.821e+04,5.892e+04
37.1,6.221e+02,1.852e+02,6.756e+04,6.836e+04
38.7,7.374e+02,2.273e+02,7.704e+04,7.801e+04
40.2,1.022e+03,2.972e+02,8.758e+04,8.890e+04
41.8,1.527e+03,4.874e+02,1.032e+05,1.052e+05
43.3,2.001e+03,7.252e+02,1.171e+05,1.198e+05
44.9,1.965e+03,7.933e+02,1.237e+05,1.265e+05
46.4,1.721e+03,7.113e+02,1.304e+05,1.328e+05
48.0,1.662e+03,5.923e+02,1.432e+05,1.455e+05
49.5,1.613e+03,5.321e+02,1.555e+05,1.577e+05
51.1,2.040e+03,6.171e+02,1.806e+05,1.832e+05
52.6,2.633e+03,6.867e+02,2.219e+05,2.252e+05
54.2,3.398e+03,7.319e+02,2.735e+05,2.776e+05
55.7,4.279e+03,9.083e+02,3.360e+05,3.412e+05
57.3,5.327e+03,1.387e+03,4.066e+05,4.134e+05
58.8,7.696e+03,3.240e+03,5.125e+05,5.234e+05
60.4,1.072e+04,5.463e+03,6.307e+05,6.469e+05
61.9,1.535e+04,9.111e+03,7.918e+05,8.162e+05
63.5,2.717e+04,2.853e+04,1.086e+06,1.142e+06
65.0,5.071e+04,7.832e+04,1.579e+06,1.708e+06
66.6,6.680e+04,1.312e+05,2.114e+06,2.312e+06
68.1,8.658e+04,1.765e+05,2.766e+06,3.029e+06
69.6,1.307e+05,2.427e+05,4.191e+06,4.564e+06
71.2,1.992e+05,3.443e+05,6.422e+06,6.965e+06
72.7,2.524e+05,4.455e+05,7.993e+06,8.690e+06
74.3,2.604e+05,5.064e+05,7.754e+06,8.521e+06
75.8,2.412e+05,5.467e+05,6.567e+06,7.355e+06
77.4,2.160e+05,5.771e+05,5.396e+06,6.189e+06
78.9,1.906e+05,5.982e+05,4.176e+06,4.965e+06
80.5,1.783e+05,6.325e+05,3.227e+06,4.038e+06
82.0,1.751e+05,6.758e+05,2.557e+06,3.408e+06
83.6,1.708e+05,7.019e+05,2.156e+06,3.029e+06
85.1,1.631e+05,7.168e+05,1.905e+06,2.785e+06
86.7,1.539e+05,7.452e+05,1.701e+06,2.600e+06
88.2,1.387e+05,7.813e+05,1.540e+06,2.460e+06
89.8,1.145e+05,7.634e+05,1.351e+06,2.229e+06
91.3,8.191e+04,6.081e+05,1.135e+06,1.825e+06
92.9,4.499e+04,3.828e+05,9.938e+05,1.422e+06
94.4,2.546e+04,2.859e+05,8.875e+05,1.199e+06
96.0,1.708e+04,2.464e+05,7.827e+05,1.046e+06
97.5,1.240e+04,2.021e+05,6.797e+05,8.941e+05
99.1,1.171e+04,1.610e+05,6.033e+05,7.760e+05
100.6,9.811e+03,1.313e+05,5.611e+05,7.022e+05
102.1,7.694e+03,1.073e+05,5.060e+05,6.210e+05
103.7,6.156e+03,8.483e+04,4.346e+05,5.256e+05
105.2,5.717e+03,6.191e+04,3.529e+05,4.205e+05
106.8,5.667e+03,5.079e+04,3.207e+05,3.772e+05
108.3,5.988e+03,4.485e+04,3.044e+05,3.552e+05
109.9,6.608e+03,3.869e+04,2.856e+05,3.309e+05
111.4,7.417e+03,3.426e+04,2.689e+05,3.105e+05
113.0,7.744e+03,3.368e+04,2.600e+05,3.014e+05
114.5,8.262e+03,3.517e+04,2.641e+05,3.076e+05
116.1,1.039e+04,3.145e+04,2.685e+05,3.104e+05
117.6,1.287e+04,2.573e+04,2.656e+05,3.042e+05
119.2,1.088e+04,2.146e+04,2.603e+05,2.927e+05
120.7,8.562e+03,1.848e+04,2.579e+05,2.850e+05
122.3,1.130e+04,1.600e+04,2.521e+05,2.794e+05
123.8,1.372e+04,1.239e+04,2.336e+05,2.597e+05
125.4,1.346e+04,9.798e+03,2.134e+05,2.367e+05
126.9,1.199e+04,1.377e+04,2.194e+05,2.452e+05
128.5,1.097e+04,1.747e+04,2.363e+05,2.647e+05
130.0,1.212e+04,2.318e+04,2.626e+05,2.980e+05
131.6,1.172e+04,2.785e+04,2.750e+05,3.145e+05
133.1,7.188e+03,2.051e+04,1.454e+05,1.731e+05
134.6,3.971e+03,1.506e+04,2.069e+04,3.972e+04
136.2,3.239e+03,1.515e+04,1.076e+04,2.915e+04
137.7,3.144e+03,1.683e+04,1.094e+04,3.092e+04
139.3,3.262e+03,1.745e+04,1.164e+04,3.234e+04
140.8,3.362e+03,1.792e+04,1.390e+04,3.517e+04
142.4,3.170e+03,2.311e+04,1.821e+04,4.449e+04
