freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.466e+02,3.259e+01,1.470e+01,7.939e+02
1.7,4.676e+02,5.362e+01,7.099e+01,5.922e+02
3.4,1.102e+02,4.670e+01,8.844e+01,2.453e+02
5.1,8.996e+02,5.749e+01,8.540e+01,1.042e+03
6.7,2.303e+03,5.675e+01,8.448e+01,2.444e+03
8.4,3.549e+03,4.839e+01,8.697e+01,3.685e+03
10.1,5.039e+03,4.947e+01,9.069e+01,5.180e+03
11.8,6.831e+03,5.483e+01,9.474e+01,6.981e+03
13.5,8.800e+03,5.882e+01,9.588e+01,8.955e+03
15.2,1.125e+04,5.572e+01,9.462e+01,1.140e+04
16.8,1.408e+04,5.987e+01,1.242e+02,1.426e+04
18.5,1.737e+04,5.707e+01,1.482e+02,1.758e+04
20.2,2.125e+04,5.588e+01,1.066e+02,2.142e+04
21.9,2.719e+04,5.855e+01,9.669e+01,2.735e+04
23.6,3.327e+04,6.697e+01,1.100e+02,3.344e+04
25.3,3.045e+04,7.418e+01,1.252e+02,3.065e+04
26.9,2.655e+04,6.077e+01,1.179e+02,2.673e+04
28.6,3.060e+04,5.042e+01,1.036e+02,3.075e+04
30.3,3.715e+04,5.799e+01,1.107e+02,3.732e+04
32.0,4.344e+04,5.454e+01,1.174e+02,4.361e+04
33.7,5.062e+04,5.433e+01,1.239e+02,5.080e+04
35.4,5.892e+04,5.437e+01,1.370e+02,5.911e+04
37.0,6.887e+04,5.352e+01,1.384e+02,6.907e+04
38.7,7.955e+04,5.887e+01,1.339e+02,7.975e+04
40.4,9.046e+04,7.246e+01,1.313e+02,9.067e+04
42.1,1.068e+05,7.938e+01,1.461e+02,1.071e+05
43.8,1.244e+05,9.060e+01,1.495e+02,1.247e+05
45.5,1.521e+05,8.926e+01,2.483e+02,1.525e+05
47.1,1.775e+05,7.946e+01,6.417e+02,1.782e+05
48.8,1.517e+05,8.150e+01,1.282e+03,1.530e+05
50.5,1.249e+05,1.001e+02,1.316e+03,1.263e+05
52.2,1.415e+05,1.431e+02,1.194e+03,1.428e+05
53.9,1.767e+05,2.368e+02,1.179e+03,1.782e+05
55.6,2.211e+05,4.009e+02,1.036e+03,2.226e+05
57.3,2.708e+05,5.932e+02,8.043e+02,2.722e+05
58.9,3.375e+05,1.058e+03,2.873e+03,3.414e+05
60.6,4.248e+05,1.669e+03,6.431e+03,4.329e+05
62.3,5.486e+05,1.667e+03,7.120e+03,5.574e+05
64.0,7.158e+05,1.367e+03,5.995e+03,7.232e+05
65.7,9.075e+05,1.294e+03,4.530e+03,9.133e+05
67.4,1.078e+06,1.884e+03,3.190e+03,1.083e+06
69.0,1.315e+06,4.351e+03,2.391e+03,1.322e+06
70.7,1.682e+06,1.060e+04,2.164e+03,1.695e+06
72.4,1.985e+06,2.051e+04,2.861e+03,2.008e+06
74.1,2.056e+06,2.840e+04,3.296e+03,2.088e+06
75.8,1.951e+06,3.675e+04,3.158e+03,1.990e+06
77.5,1.757e+06,4.845e+04,2.605e+03,1.808e+06
79.1,1.507e+06,5.883e+04,1.725e+03,1.567e+06
80.8,1.262e+06,6.840e+04,7.602e+02,1.331e+06
82.5,1.034e+06,8.263e+04,3.907e+02,1.117e+06
84.2,9.300e+05,1.084e+05,4.921e+02,1.039e+06
85.9,9.067e+05,1.394e+05,4.756e+02,1.047e+06
87.6,8.495e+05,1.632e+05,6.194e+02,1.013e+06
89.2,7.615e+05,1.713e+05,9.776e+02,9.338e+05
90.9,6.847e+05,1.622e+05,1.327e+03,8.482e+05
92.6,6.204e+05,1.395e+05,1.493e+03,7.614e+05
94.3,5.680e+05,1.144e+05,1.508e+03,6.838e+05
96.0,5.276e+05,9.727e+04,1.658e+03,6.266e+05
97.7,4.889e+05,8.866e+04,1.791e+03,5.793e+05
99.3,4.568e+05,8.193e+04,1.793e+03,5.405e+05
101.0,4.413e+05,5.924e+04,1.687e+03,5.022e+05
102.7,4.235e+05,5.390e+04,1.824e+03,4.793e+05
104.4,3.926e+05,5.991e+04,2.169e+03,4.547e+05
106.1,3.669e+05,4.711e+04,2.416e+03,4.164e+05
107.8,3.553e+05,3.714e+04,2.765e+03,3.952e+05
109.5,3.554e+05,2.927e+04,2.937e+03,3.876e+05
111.1,3.782e+05,3.337e+04,3.052e+03,4.146e+05
112.8,3.869e+05,4.731e+04,3.164e+03,4.374e+05
114.5,3.729e+05,4.302e+04,2.804e+03,4.187e+05
116.2,3.743e+05,2.513e+04,2.335e+03,4.018e+05
117.9,5.210e+05,1.080e+04,3.454e+03,5.353e+05
119.6,8.329e+05,9.932e+03,5.657e+03,8.485e+05
121.2,8.247e+05,1.049e+04,5.526e+03,8.407e+05
122.9,7.229e+05,6.690e+03,3.240e+03,7.328e+05
124.6,9.963e+05,7.425e+03,3.022e+03,1.007e+06
126.3,1.374e+06,1.108e+04,3.569e+03,1.389e+06
128.0,1.914e+06,1.848e+04,3.871e+03,1.937e+06
129.7,2.334e+06,3.559e+04,2.814e+03,2.372e+06
131.3,2.124e+06,4.033e+04,1.869e+03,2.166e+06
133.0,1.342e+06,2.248e+04,1.923e+03,1.366e+06
134.7,1.428e+05,2.462e+03,4.000e+02,1.457e+05
136.4,1.449e+04,4.218e+02,2.207e+02,1.513e+04
138.1,1.368e+04,3.947e+02,2.008e+02,1.427e+04
139.8,1.388e+04,2.924e+02,1.975e+02,1.437e+04
141.4,1.522e+04,2.496e+02,2.146e+02,1.568e+04
143.1,1.705e+04,2.279e+02,2.771e+02,1.756e+04
144.8,1.961e+04,3.092e+02,4.422e+02,2.036e+04
146.5,1.860e+04,4.544e+02,5.262e+02,1.958e+04
148.2,1.810e+04,5.504e+02,5.101e+02,1.916e+04
149.9,2.095e+04,6.116e+02,4.630e+02,2.202e+04
151.6,2.165e+04,6.932e+02,4.015e+02,2.274e+04
153.2,2.035e+04,6.943e+02,2.891e+02,2.133e+04
154.9,1.942e+04,4.972e+02,2.296e+02,2.015e+04
156.6,2.003e+04,4.450e+02,2.262e+02,2.070e+04
158.3,2.033e+04,4.308e+02,2.227e+02,2.098e+04
160.0,2.056e+04,4.070e+02,2.394e+02,2.121e+04
161.7,2.012e+04,3.762e+02,2.158e+02,2.071e+04
163.3,1.836e+04,3.327e+02,1.803e+02,1.887e+04
165.0,1.754e+04,3.254e+02,1.678e+02,1.803e+04
166.7,1.789e+04,3.449e+02,1.682e+02,1.840e+04
168.4,1.982e+04,3.575e+02,1.670e+02,2.035e+04
170.1,2.235e+04,3.753e+02,1.718e+02,2.290e+04
171.8,2.597e+04,3.830e+02,1.657e+02,2.652e+04
173.4,2.875e+04,3.855e+02,1.535e+02,2.929e+04
175.1,2.787e+04,3.741e+02,1.517e+02,2.840e+04
176.8,2.612e+04,5.173e+02,1.558e+02,2.679e+04
178.5,2.398e+04,6.635e+02,1.539e+02,2.480e+04
180.2,2.250e+04,7.565e+02,1.669e+02,2.342e+04
181.9,2.266e+04,9.160e+02,1.757e+02,2.375e+04
183.5,2.238e+04,1.052e+03,1.743e+02,2.360e+04
185.2,2.143e+04,1.052e+03,1.870e+02,2.267e+04
186.9,2.041e+04,1.042e+03,1.708e+02,2.162e+04
188.6,2.047e+04,1.077e+03,1.660e+02,2.171e+04
190.3,2.049e+04,1.102e+03,1.898e+02,2.178e+04
192.0,2.070e+04,1.211e+03,1.956e+02,2.211e+04
193.6,2.098e+04,1.410e+03,1.926e+02,2.259e+04
195.3,2.138e+04,1.624e+03,2.282e+02,2.323e+04
197.0,1.921e+04,1.680e+03,2.579e+02,2.115e+04
198.7,1.925e+04,1.803e+03,2.878e+02,2.134e+04
