freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.543e+01,3.222e+03,1.184e+02,3.396e+03
1.6,7.596e+01,1.902e+03,1.147e+02,2.093e+03
3.1,5.926e+01,8.236e+01,6.591e+01,2.075e+02
4.7,6.143e+01,4.568e+02,6.648e+01,5.847e+02
6.2,5.726e+01,1.480e+03,7.632e+01,1.614e+03
7.8,5.608e+01,2.392e+03,7.069e+01,2.519e+03
9.3,6.002e+01,3.421e+03,6.407e+01,3.545e+03
10.9,6.180e+01,4.642e+03,6.337e+01,4.768e+03
12.4,6.672e+01,6.039e+03,6.232e+01,6.168e+03
14.0,7.997e+01,7.566e+03,6.225e+01,7.708e+03
15.6,7.313e+01,9.289e+03,7.118e+01,9.434e+03
17.1,6.655e+01,1.152e+04,6.916e+01,1.166e+04
18.7,6.447e+01,1.421e+04,7.070e+01,1.435e+04
20.2,7.255e+01,1.747e+04,7.644e+01,1.762e+04
21.8,7.533e+01,2.156e+04,7.627e+01,2.171e+04
23.3,7.713e+01,2.660e+04,7.763e+01,2.676e+04
24.9,6.813e+01,3.254e+04,7.397e+01,3.268e+04
26.4,6.644e+01,4.012e+04,7.618e+01,4.026e+04
28.0,6.448e+01,4.593e+04,7.200e+01,4.606e+04
29.6,6.829e+01,4.832e+04,7.369e+01,4.846e+04
31.1,6.957e+01,5.044e+04,8.378e+01,5.059e+04
32.7,6.568e+01,5.391e+04,1.025e+02,5.408e+04
34.2,7.085e+01,5.853e+04,9.358e+01,5.869e+04
35.8,7.822e+01,6.987e+04,8.908e+01,7.004e+04
37.3,7.593e+01,8.113e+04,8.327e+01,8.129e+04
38.9,7.401e+01,9.489e+04,8.514e+01,9.505e+04
40.5,7.828e+01,1.059e+05,7.557e+01,1.060e+05
42.0,8.846e+01,1.171e+05,7.062e+01,1.173e+05
43.6,9.537e+01,1.396e+05,8.759e+01,1.398e+05
45.1,1.073e+02,1.653e+05,1.043e+02,1.655e+05
46.7,1.345e+02,1.942e+05,1.234e+02,1.945e+05
48.2,1.441e+02,2.285e+05,1.717e+02,2.288e+05
49.8,1.189e+02,2.690e+05,2.467e+02,2.694e+05
51.3,1.260e+02,3.056e+05,3.258e+02,3.061e+05
52.9,1.537e+02,3.313e+05,3.824e+02,3.318e+05
54.5,1.634e+02,3.827e+05,5.205e+02,3.833e+05
56.0,2.057e+02,4.695e+05,8.381e+02,4.705e+05
57.6,2.727e+02,5.866e+05,1.440e+03,5.883e+05
59.1,3.610e+02,7.502e+05,2.284e+03,7.528e+05
60.7,4.296e+02,9.539e+05,4.247e+03,9.586e+05
62.2,5.761e+02,1.146e+06,7.324e+03,1.154e+06
63.8,9.779e+02,1.362e+06,8.260e+03,1.371e+06
65.3,1.512e+03,1.740e+06,1.160e+04,1.753e+06
66.9,1.992e+03,2.358e+06,2.024e+04,2.381e+06
68.5,2.393e+03,3.343e+06,4.202e+04,3.388e+06
70.0,3.484e+03,5.115e+06,9.138e+04,5.210e+06
71.6,5.555e+03,8.275e+06,2.082e+05,8.489e+06
73.1,7.807e+03,1.198e+07,4.413e+05,1.242e+07
74.7,9.221e+03,1.420e+07,7.274e+05,1.494e+07
76.2,1.111e+04,1.493e+07,7.792e+05,1.573e+07
77.8,1.287e+04,1.394e+07,6.122e+05,1.456e+07
79.3,1.183e+04,9.657e+06,4.740e+05,1.014e+07
80.9,1.294e+04,9.780e+06,3.602e+05,1.015e+07
82.5,1.310e+04,9.597e+06,3.100e+05,9.920e+06
84.0,1.238e+04,8.099e+06,3.053e+05,8.416e+06
85.6,1.296e+04,7.213e+06,2.961e+05,7.522e+06
87.1,1.434e+04,6.582e+06,2.912e+05,6.887e+06
88.7,1.496e+04,5.944e+06,2.823e+05,6.241e+06
90.2,1.509e+04,5.519e+06,2.872e+05,5.822e+06
91.8,1.623e+04,5.469e+06,3.115e+05,5.797e+06
93.4,1.897e+04,5.534e+06,3.405e+05,5.894e+06
94.9,2.203e+04,5.657e+06,3.518e+05,6.031e+06
96.5,2.696e+04,5.763e+06,3.441e+05,6.134e+06
98.0,3.435e+04,5.881e+06,3.290e+05,6.245e+06
99.6,4.218e+04,5.959e+06,3.160e+05,6.317e+06
101.1,5.209e+04,5.984e+06,3.095e+05,6.345e+06
102.7,6.442e+04,6.061e+06,3.071e+05,6.432e+06
104.2,7.651e+04,6.174e+06,3.062e+05,6.556e+06
105.8,8.599e+04,6.224e+06,2.990e+05,6.609e+06
107.4,8.891e+04,6.112e+06,2.856e+05,6.486e+06
108.9,8.781e+04,5.946e+06,2.705e+05,6.304e+06
110.5,8.389e+04,5.615e+06,2.418e+05,5.940e+06
112.0,7.888e+04,5.148e+06,2.048e+05,5.432e+06
113.6,7.256e+04,4.715e+06,1.748e+05,4.963e+06
115.1,6.559e+04,4.335e+06,1.503e+05,4.551e+06
116.7,5.914e+04,3.872e+06,1.268e+05,4.058e+06
118.2,5.375e+04,3.406e+06,1.056e+05,3.565e+06
119.8,4.502e+04,2.957e+06,8.733e+04,3.089e+06
121.4,3.249e+04,2.366e+06,6.660e+04,2.465e+06
122.9,2.759e+04,2.111e+06,5.310e+04,2.191e+06
124.5,2.976e+04,2.109e+06,4.837e+04,2.187e+06
126.0,3.175e+04,2.161e+06,4.595e+04,2.239e+06
127.6,3.182e+04,2.155e+06,4.004e+04,2.227e+06
129.1,3.429e+04,2.123e+06,3.096e+04,2.188e+06
130.7,4.277e+04,2.129e+06,2.241e+04,2.194e+06
132.2,4.534e+04,1.776e+06,2.002e+04,1.841e+06
133.8,2.378e+04,5.363e+05,1.754e+04,5.776e+05
135.4,2.007e+04,1.516e+05,2.964e+04,2.013e+05
136.9,2.546e+04,1.635e+05,6.897e+04,2.580e+05
138.5,2.860e+04,1.947e+05,1.399e+05,3.632e+05
140.0,2.536e+04,2.076e+05,1.805e+05,4.134e+05
141.6,2.351e+04,1.937e+05,1.715e+05,3.887e+05
143.1,2.942e+04,1.761e+05,1.427e+05,3.483e+05
144.7,3.581e+04,1.410e+05,1.067e+05,2.835e+05
146.3,5.384e+04,9.456e+04,7.446e+04,2.229e+05
147.8,7.526e+04,7.126e+04,5.380e+04,2.003e+05
149.4,8.585e+04,7.352e+04,3.967e+04,1.990e+05
150.9,1.008e+05,8.849e+04,3.141e+04,2.207e+05
152.5,1.138e+05,1.074e+05,2.880e+04,2.499e+05
154.0,1.150e+05,1.278e+05,2.667e+04,2.695e+05
155.6,1.063e+05,1.500e+05,2.302e+04,2.793e+05
157.1,9.804e+04,1.782e+05,1.915e+04,2.954e+05
158.7,6.838e+04,2.087e+05,1.217e+04,2.893e+05
160.3,6.856e+04,2.821e+05,1.233e+04,3.630e+05
161.8,8.341e+04,3.312e+05,1.619e+04,4.308e+05
163.4,5.948e+04,3.173e+05,1.356e+04,3.903e+05
164.9,6.211e+04,3.333e+05,1.589e+04,4.113e+05
166.5,6.369e+04,3.399e+05,1.660e+04,4.202e+05
168.0,5.543e+04,3.427e+05,1.634e+04,4.145e+05
169.6,4.908e+04,3.440e+05,1.571e+04,4.088e+05
171.1,4.405e+04,3.448e+05,1.488e+04,4.037e+05
172.7,4.036e+04,3.471e+05,1.395e+04,4.015e+05
174.3,3.691e+04,3.560e+05,1.306e+04,4.060e+05
175.8,3.394e+04,3.643e+05,1.260e+04,4.108e+05
177.4,3.114e+04,3.682e+05,1.252e+04,4.119e+05
178.9,2.850e+04,3.702e+05,1.204e+04,4.108e+05
180.5,2.561e+04,3.500e+05,1.030e+04,3.859e+05
182.0,2.612e+04,3.401e+05,9.471e+03,3.757e+05
183.6,2.628e+04,3.607e+05,9.825e+03,3.968e+05
185.1,3.297e+04,4.782e+05,1.221e+04,5.234e+05
186.7,4.006e+04,5.706e+05,1.352e+04,6.242e+05
188.3,4.274e+04,5.802e+05,1.308e+04,6.360e+05
189.8,4.593e+04,5.691e+05,1.240e+04,6.274e+05
191.4,4.760e+04,5.653e+05,1.221e+04,6.251e+05
192.9,5.045e+04,5.783e+05,1.216e+04,6.409e+05
194.5,5.652e+04,6.076e+05,1.225e+04,6.763e+05
196.0,6.366e+04,6.407e+05,1.250e+04,7.169e+05
197.6,7.183e+04,6.694e+05,1.221e+04,7.534e+05
199.2,7.601e+04,7.130e+05,1.176e+04,8.008e+05
